"Plot","TPA","BA","biomass","bm_pa","Dom_species","Common.name","Abundance","rel_abd","richness","Ttl_Trees","bm_tonpa"
"G4",128,139.58705808,27293.0714841965,109172.285936786,"Mixed","Mixed",8,25,9,32,109.172285936786
"M4",116,148.22466696,31662.8561873966,126651.424749587,"Mixed","Mixed",8,27.6,11,29,126.651424749587
"Q4",136,104.18296248,16445.9323324462,65783.7293297849,"Mixed","Mixed",11,32.4,8,34,65.7837293297848
"C6",112,122.94035928,24450.3454867043,97801.3819468172,"Mixed","Mixed",10,35.7,9,28,97.8013819468172
"E4",120,166.75255944,33840.3539969156,135361.415987662,"CHO","Chestnut oak",23,76.7,7,30,135.361415987662
"D7",108,45.92333448,7009.89049242736,28039.5619697094,"Mixed","Mixed",8,29.6,8,27,28.0395619697094
"J5",128,102.78412056,19071.5635960637,76286.2543842548,"Mixed","Mixed",8,25,10,32,76.2862543842548
"E6",144,166.50603864,32236.2401628367,128944.960651347,"CHO","Chestnut oak",22,61.1,6,36,128.944960651347
"F7",216,53.22078648,6393.69904986693,25574.7961994677,"Mixed","Mixed",15,27.8,9,54,25.5747961994677
"K5",112,121.92286104,24186.6983137758,96746.7932551032,"CHO","Chestnut oak",15,53.6,6,28,96.7467932551032
"G6",112,97.6200552,19497.8990428443,77991.596171377,"Mixed","Mixed",14,50,6,28,77.991596171377
"G7",96,71.92037088,12891.4310624524,51565.7242498095,"Mixed","Mixed",9,37.5,8,24,51.5657242498095
"D4",116,138.59726616,27737.0848692607,110948.339477043,"CHO","Chestnut oak",17,58.6,6,29,110.948339477043
"D6",120,101.91148056,19594.5699371851,78378.2797487404,"Mixed","Mixed",11,36.7,6,30,78.3782797487404
"F4",112,115.6891572,21791.7499930451,87166.9999721804,"CHO","Chestnut oak",19,67.9,4,28,87.1669999721804
"J6",84,114.8296068,26285.8840943891,105143.536377556,"CHO","Chestnut oak",14,66.7,6,21,105.143536377556
"D5",100,135.33686496,25649.319022409,102597.276089636,"Mixed","Mixed",8,32,10,25,102.597276089636
"C4",152,139.33901016,26186.7398213963,104746.959285585,"CHO","Chestnut oak",28,73.7,4,38,104.746959285585
"I6",160,124.85100456,22988.1053801516,91952.4215206066,"Mixed","Mixed",15,37.5,9,40,91.9524215206066
"E7",184,70.28744328,10898.9700379269,43595.8801517077,"Mixed","Mixed",18,39.1,10,46,43.5958801517077
"D3",116,145.62856296,28874.0486700632,115496.194680253,"Mixed","Mixed",8,27.6,7,29,115.496194680253
"H6",128,96.99000912,19338.2758718067,77353.1034872269,"Mixed","Mixed",11,34.4,9,32,77.3531034872269
"C5",140,134.4461809464,25320.7179532612,101282.871813045,"Mixed","Mixed",13,37.1,10,35,101.282871813045
"E3",160,171.21458592,34944.065047582,139776.260190328,"Mixed","Mixed",9,22.5,10,40,139.776260190328
"F6",168,114.7379796,21511.0393000449,86044.1572001798,"Mixed","Mixed",15,35.7,7,42,86.0441572001798
"B5",148,128.26455408,25201.3367719771,100805.347087909,"Mixed","Mixed",12,32.4,10,37,100.805347087909
"H5",140,158.95835712,31702.8430313565,126811.372125426,"Mixed","Mixed",7,20,10,35,126.811372125426
"I3",124,86.39986824,13732.806983777,54931.2279351081,"Mixed","Mixed",8,26.7,9,30,54.9312279351081
"E5",132,134.68740264,24135.6831516261,96542.7326065043,"Mixed","Mixed",16,48.5,9,33,96.5427326065043
"F2",148,126.22388544,23883.3798085093,95533.5192340372,"Mixed","Mixed",10,27,8,37,95.5335192340372
"J4",88,89.90308152,15899.5102688095,63598.0410752381,"Mixed","Mixed",6,27.3,10,22,63.5980410752381
"I4",120,107.58407688,18578.8928588734,74315.5714354935,"Mixed","Mixed",12,40,8,30,74.3155714354935
"C1",108,141.08363568,24271.0926740173,97084.3706960691,"Mixed","Mixed",11,40.7,8,27,97.0843706960691
"A6",144,93.8655216,14631.4961396453,58525.9845585813,"Mixed","Mixed",16,44.4,9,36,58.5259845585812
"A5",96,98.9497404,19260.3258267698,77041.3033070792,"Mixed","Mixed",10,41.7,8,24,77.0413033070792
"F3",100,119.19324312,25268.5296930719,101074.118772288,"Mixed","Mixed",12,48,5,25,101.074118772288
"B4",96,51.85379592,8925.72473455916,35702.8989382366,"Mixed","Mixed",10,41.7,8,24,35.7028989382366
"F5",128,106.74939672,21168.7358056915,84674.9432227662,"SUM","Sugar maple",25,78.1,4,32,84.6749432227662
"E1",124,85.68932112,14606.9210733506,58427.6842934024,"SUM","Sugar maple",17,54.8,8,31,58.4276842934024
"K3",68,45.52759224,8251.09654785325,33004.386191413,"SUM","Sugar maple",9,52.9,7,17,33.004386191413
"G2",160,122.53370904,21598.4387655288,86393.7550621151,"SUM","Sugar maple",24,60,11,40,86.3937550621151
"G3",116,158.12869464,33947.6543241446,135790.617296579,"Mixed","Mixed",11,37.9,5,29,135.790617296579
"C7",156,64.36112688,10098.4965216174,40393.9860864696,"Mixed","Mixed",12,30.8,12,39,40.3939860864696
"D1",152,169.6063104,34899.6928118709,139598.771247484,"Mixed","Mixed",18,47.4,10,38,139.598771247484
"F1",124,76.74170688,13089.8847311855,52359.538924742,"Mixed","Mixed",9,29,13,31,52.359538924742
"M3",112,69.23351232,12486.4769557604,49945.9078230416,"Mixed","Mixed",7,25,12,28,49.9459078230416
"H3",100,111.75638688,22141.6717527376,88566.6870109503,"Mixed","Mixed",8,32,10,25,88.5666870109503
"H4",136,155.00747952,31944.2167300168,127776.866920067,"Mixed","Mixed",13,38.2,7,34,127.776866920067
"I2",132,62.40619512,9447.07997420523,37788.3198968209,"Mixed","Mixed",9,27.3,9,33,37.7883198968209
"P5",124,102.4075764,20495.2781013609,81981.1124054435,"SUM","Sugar maple",21,67.7,6,31,81.9811124054435
"H7",72,44.61961032,8602.39710672755,34409.5884269102,"Mixed","Mixed",5,27.8,7,18,34.4095884269102
"I5",88,91.51419312,18472.832701019,73891.330804076,"Mixed","Mixed",8,36.4,6,22,73.891330804076
"Q5",100,96.42039336,18468.0428220722,73872.1712882889,"Mixed","Mixed",7,28,10,25,73.8721712882889
"Q6",92,104.61339216,21205.3987250162,84821.5949000648,"SUM","Sugar maple",13,56.5,8,23,84.8215949000648
"G5",140,151.47045144,31539.0346501764,126156.138600706,"Mixed","Mixed",16,45.7,7,35,126.156138600706
"O4",88,109.34091936,21361.577751806,85446.3110072239,"SUM","Sugar maple",12,54.5,8,22,85.4463110072239
"R6",112,78.0489216,15581.1985019366,62324.7940077465,"SUM","Sugar maple",16,57.1,7,28,62.3247940077465
"H2",116,107.72326296,20506.2419784653,82024.967913861,"SUM","Sugar maple",21,72.4,5,29,82.024967913861
"J3",136,100.37257992,20262.8060367032,81051.2241468129,"Mixed","Mixed",17,50,10,34,81.0512241468129
"K4",112,127.8559404,24119.2832592077,96477.1330368308,"Mixed","Mixed",6,21.4,10,28,96.4771330368308
"L5",84,106.40557656,21313.8389695372,85255.3558781488,"Mixed","Mixed",10,47.6,6,21,85.2553558781488
"P4",84,65.40742224,11946.8198861025,47787.27954441,"SUM","Sugar maple",13,61.9,7,21,47.78727954441
"J2",136,88.58081376,13379.346831692,53517.3873267681,"Mixed","Mixed",9,26.5,7,34,53.5173873267681
"L4",144,132.44886288,26311.6003406197,105246.401362479,"Mixed","Mixed",11,31.4,11,35,105.246401362479
"P6",120,133.42752864,24251.7958689327,97007.1834757307,"Mixed","Mixed",10,33.3,7,30,97.0071834757307
"R5",164,139.96861992,26307.4854685306,105229.941874123,"SUM","Sugar maple",28,68.3,9,41,105.229941874123
"N4",104,96.45464448,20039.8073491018,80159.2293964073,"SUM","Sugar maple",17,65.4,7,26,80.1592293964073
"Q7",140,138.5839584,26467.4638844501,105869.8555378,"Mixed","Mixed",17,48.6,9,35,105.8698555378
"S5",160,156.4436268,29397.2814284094,117589.125713638,"Mixed","Mixed",16,40,11,40,117.589125713638
"O5",76,75.62865456,14183.5352400456,56734.1409601825,"Mixed","Mixed",9,47.4,6,19,56.7341409601825
"L3",164,137.05378416,23821.7474230449,95286.9896921796,"Mixed","Mixed",9,22,10,41,95.2869896921796
"B6",216,129.43934568,17058.8014945,68235.205978,"VIP","Virginia Pine",36,66.7,7,54,68.235205978
"K6",116,159.87811968,33866.1474310373,135464.589724149,"Mixed","Mixed",9,31,9,29,135.464589724149
